client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21,class_22,class_23,class_24,class_25,class_26,class_27,class_28,class_29,class_30,class_31,class_32,class_33,class_34,class_35,class_36,class_37,class_38,class_39,class_40,class_41,class_42,class_43,class_44,class_45,class_46,class_47,class_48,class_49,class_50,class_51,class_52,class_53,class_54,class_55,class_56,class_57,class_58,class_59,class_60,class_61
10,819,4152,1450,724,2783,645,1319,109,6881,1095,303,16,75,310,872,1680,114,114,82,161,31,377,50,434,1352,169,271,314,987,117,1490,103,235,315,222,67,820,440,173,582,3162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,91,1987,1134,1652,1110,2084,1037,3315,3067,5414,341,277,627,567,95,36,27,120,330,7,11,41,203,78,83,71,525,114,201,1392,1043,301,119,107,11,208,160,148,135,26,387,241,59,978,156,142,144,565,54,1318,412,201,761,145,206,1082,0,0,0,0,0,0
12,929,272,635,2185,1267,4340,2229,1158,108,314,1013,251,782,79,169,613,355,112,404,541,2,139,2193,604,480,367,210,143,5768,672,0,24,100,447,259,328,145,732,187,444,1471,409,445,738,172,382,94,3574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2277,4361,870,476,119,642,3869,1483,1998,2366,529,68,211,19,61,79,423,149,10,55,34,770,197,119,218,38,50,16,1916,346,477,609,392,254,14,95,316,230,253,239,188,54,274,60,495,3,169,39,12,603,312,235,51,500,400,1748,338,575,1507,93,543,168
14,250,3717,171,396,2860,2109,1326,1511,1643,45,125,3,146,95,232,897,93,98,34,33,12,651,578,89,898,291,334,997,501,575,338,269,461,121,38,25,503,0,139,172,629,133,589,270,499,31,40,370,77,525,513,118,808,3069,375,2643,377,102,2,24,407,257
15,3840,4205,2224,1185,43,2430,486,3403,2742,2375,146,640,416,16,80,40,116,495,250,8,122,371,792,288,261,212,232,83,898,443,908,133,255,0,50,588,624,35,84,25,2125,242,233,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,857,4801,576,1890,2247,460,6408,564,104,138,50,300,582,509,271,212,121,359,508,259,356,85,1065,649,977,399,79,330,2748,550,746,387,339,27,606,15,279,540,212,275,2480,118,98,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2835,514,565,4881,3290,715,429,7324,5983,618,185,80,306,676,186,942,132,266,1113,26,156,140,416,486,659,683,197,9,908,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,2727,2679,1239,1018,4001,2131,402,266,1045,580,345,161,143,40,51,23,190,135,60,90,206,77,3,2257,541,67,164,433,200,606,89,251,35,16,99,105,94,219,609,634,230,19,496,293,173,242,256,438,84,131,90,23,385,315,1513,442,87,390,104,809,450
19,4348,1325,847,31,501,101,945,631,1396,957,62,76,820,71,965,361,9,222,2984,267,178,28,687,344,897,457,193,1210,988,237,720,148,100,32,308,65,133,461,37,134,1902,425,218,661,15,77,122,4423,260,1749,85,215,549,0,0,0,1,0,1,0,0,0
